id,title,price,brand,list,availability,code,size,os,model_cpu,freq,ram_size,hard_typee,storage,videocard,videocard_type,videocard_mem,code2
s102,Ноутбук Asus Vivobook X403FA-EB022 I385UN (90NB0LP2-M04400),279990,Asus,Ноутбуки,Нет в наличии,442638,"14″ - 35,56 см",DOS,Intel® Core™ i3-8145U,,8 ГБ,SSD,512 ГБ,Intel HD Graphics,620,,(90NB0LP2-M04400)
s103,Ноутбук Asus Vivobook X420UA-EK063T Transparent Silver (90NB0LA1-M06510),149990,Asus,Ноутбуки,Нет в наличии,392646,"14″ - 35,56 см",Windows 10 Home,Intel® Pentium® 4415U,2.3 ГГц,4 ГБ,SSD,256 Гб,Intel HD Graphics,610,,(90NB0LA1-M06510)
s104,"Ультрабук Apple MacBook Air 13'' i5 1,6/8Gb/128GB SSD Space Grey (MVFH2)",459990,Apple,Ноутбуки,Нет в наличии,371607,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-8210Y,1.6 ГГц,8 ГБ,SSD,128 ГБ,Intel UHD Graphics,617,1.5 ГБ,(MVFH2)
s105,Ноутбук Lenovo Ideapad S145-15IGM (81MX00B0RK),149990,Lenovo,Ноутбуки,Нет в наличии,456851,"15,6″ - 39,62 см",DOS,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,HDD,500 Гб,Intel HD Graphics,630M,SMA (выделяется из операт. памяти),(81MX00B0RK)
s106,Ноутбук Asus Laptop X543UA-DM1526T Star Gray (90NB0HF7-M31120),189990,Asus,Ноутбуки,Нет в наличии,392650,"15,6″ - 39,62 см",Windows 10,‎Intel® Core™ i3-7020U,2.3 ГГц,4 ГБ,HDD,1 ТБ,Intel HD Graphics,620,SMA (выделяется из операт. памяти),(90NB0HF7-M31120)
s107,Ноутбук HP Potter 15-da0552ur C41TUN 14T41EA,119990,HP,Ноутбуки,Нет в наличии,460127,"15,6″ - 39,62 см",DOS,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,HDD,1 ТБ,Intel UHD Graphics,600,,
s108,"Ноутбук Lenovo Legion Y530-15ICH, I581T1SGN, 81FV01CMRK",309990,Lenovo,Ноутбуки,Нет в наличии,454025,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-8300H,2.3 ГГц,8 ГБ,HDD + SSD,HDD 1 Тб + SSD 128 Гб,GeForce GTX,1050,4 ГБ,(81FV01CMRK)
s109,Ноутбук Apple MacBook Pro 13.3″ Touch Bar i5 /8Gb/128GB/ Silver (MUHQ2),579990,Apple,Ноутбуки,Нет в наличии,373844,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-8257U,1.4 ГГц,8 ГБ,SSD,128 ГБ,Iris Plus Graphics,645,1.5 ГБ,(MUHQ2)
s110,Ноутбук Asus Laptop M509DA-EJ126 90NB0P51-M01550,169990,Asus,Ноутбуки,Нет в наличии,392642,"15,6″ - 39,62 см",Linux,AMD Ryzen 3200U,2.6 ГГц,8 ГБ,HDD,1 ТБ,Radeon,Vega 3,SMA (выделяется из операт. памяти),(90NB0P51-M01550)
s111,"Ноутбук Lenovo Legion Y540-15IRH-PG0, Black, 81SY00FDRK",449990,Lenovo,Ноутбуки,Нет в наличии,392612,"15,6″ - 39,62 см",DOS,Intel® Core™ i7-9750H,2.6 ГГц,16 ГБ,SSD,1 ТБ,GeForce GTX,1650 Super,4 ГБ,(81SY00FDRK)
s112,Ноутбук Asus Laptop 15 X509JB-EJ059 (90NB0QD2-M01800),259990,Asus,Ноутбуки,Нет в наличии,467033,"15,6″ - 39,62 см",DOS,Intel® Core™ i3 1005G1,1.2 ГГц,4 ГБ,HDD,1 ТБ,GeForce MX,110,2 ГБ,(90NB0QD2-M01800)
s113,Ноутбук Lenovo Ideapad S145-15IWL (81MV01ADRK),259990,Lenovo,Ноутбуки,Нет в наличии,392607,"15,6″ - 39,62 см",Windows 10 Home,Intel® Core™ i3-8145U,2.1 ГГц,4 ГБ,HDD,1 ТБ,GeForce MX,MX 110,2 ГБ,(81MV01ADRK)
