Планшет Apple iPad Pro 11″ (2020) 512GB Wi‑Fi (MXDF2) Silver,630990,Apple,459994,Планшеты,"11″ - 27,94 см",512 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 512GB Wi‑Fi (MXAW2) Silver,744990,Apple,460006,Планшеты,"12,9″ - 32,77 см",512 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Samsung Galaxy Tab A7 10.4″ (SM-T505) Gold,119890,Samsung,474822,Планшеты,"10,4″ - 26.31 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
"Планшет Huawei MatePad T 8"" 2/32GB",69990,Huawei,471885,Планшеты,"8″ - 20,3 см",32 Гб,2 ГБ,Wi-Fi + 4G,5 Mpx,2 Mpx
Планшет Samsung Galaxy Tab A7 10.4″ (SM-T505) Gray,119890,Samsung,474821,Планшеты,"10,4″ - 26.31 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Prestigio Smartkids 3197 Blue,27990,Prestigio,474833,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,только Wi-Fi,2 Mpx,"0,3 Mpx"
Планшет Prestigio MultiPad Wize 4137 4G Black,33990,Prestigio,474832,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,Wi-Fi + 4G,2 Mpx,"0,3 Mpx"
Планшет Prestigio Smartkids 3197 Pink,27990,Prestigio,474834,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,только Wi-Fi,2 Mpx,"0,3 Mpx"
Планшет Apple iPad Pro 11'' (2018) 256GB Wi-Fi (MTXR2) Silver,494890,Apple,390372,Планшеты,"11″ - 27,94 см",256 Гб,4 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2018) 512GB Wi-Fi (MTXT2) Space Grey,512990,Apple,390373,Планшеты,"11″ - 27,94 см",512 Гб,4 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 256GB Wi‑Fi (MXDC2) Space Grey,515990,Apple,459991,Планшеты,"11″ - 27,94 см",256 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Lenovo Tab M7 16GB (TB-7305X) Platinum Grey,49990,Lenovo,460015,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,,2 Mpx,2 Mpx
Планшет Apple iPad 10.2″ 128GB Wi-Fi + Cellular (MW6F2) Silver,316990,Apple,393689,Планшеты,"10,2″ - 25,9 см",128 Гб,2 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 12.9″ (2020) 256GB Wi‑Fi + Cellular (MXF62) Silver,716990,Apple,460009,Планшеты,"12,9″ - 32,77 см",256 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
