LED телевизор Kivi 40F500GR,84890,Kivi,420950,Все телевизоры,"40″ - 101,6 см",1920х1080 (FullHD),,,Direct,Нет,Нет,Нет
LED телевизор LG 75UM7110PLB,399990,LG,308811,Все телевизоры,"75″ - 190,5 см",3840x2160 (4K UHD),,,LED,Да,Есть (встроенный),
LED телевизор LG 43UN71006LB,189990,LG,459818,Все телевизоры,"43″ - 109,2 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
QLED телевизор Samsung QE65Q800TAUXCE,1399990,Samsung,459714,Все телевизоры,"65″ -165,1 см",7680x4320(8K),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
LED телевизор LG 50UN81006LB,229990,LG,459814,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED TV Philips 70PUS6774,359990,Philips,414646,Все телевизоры,"70″ - 177,8 см",3840x2160 (4K UHD),,,Direct,Да,Есть (встроенный),Нет
QLED телевизор Samsung QE75Q800TAUXCE,2099990,Samsung,459713,Все телевизоры,"75″ - 190,5 см",7680x4320(8K),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
LED телевизор LG 50UN74006LA,219990,LG,460541,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Sony KD55XH8096BR,379990,Sony,464220,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
QLED телевизор Samsung QE49LS01TAUXRU,419090,Samsung,460262,Все телевизоры,"49″ - 124,5 см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
QLED телевизор Samsung QE43LS01TAUXRU,349090,Samsung,460263,Все телевизоры,"43″ - 109,2 см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
LED телевизор LG 65UN81006LB,354990,LG,459807,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Sony KD65XH8096BR2,569990,Sony,460173,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор Sony KD75XG8096BR2,790290,Sony,304214,Все телевизоры,"75″ - 190,5 см",3840x2160 (4K UHD),Direct,,,Да,Есть (встроенный),Нет
OLED телевизор LG OLED77GXRLA,3899990,LG,464029,Все телевизоры,"77″ - 195,58 см",3840x2160 (4K UHD),16:9,Прямой,OLED,Да,Есть (встроенный),Нет
QLED телевизор Samsung QE55Q80TAUXCE,499090,Samsung,467445,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),
Nanocell телевизор LG 75NANO906NA,699990,LG,459803,Все телевизоры,"75″ - 190,5 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED TV Sony KD49XG7005BR,279990,Sony,390565,Все телевизоры,"49″ - 124,5 см",3840x2160 (4K UHD),16:9,,EDGE,Да,Есть (встроенный),Нет
LED телевизор Sony KD43XG7005BR,259990,Sony,390564,Все телевизоры,"43″ - 109,2 см",3840x2160 (4K UHD),,,EDGE,Да,Есть (встроенный),Нет
LED телевизор LG 65UN74006LA,339990,LG,460539,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор ERGO 55DU6510,169890,Ergo,373625,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Samsung UE82TU8000UXCE,799090,Samsung,460503,Все телевизоры,"82″ - 208,3 см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор Samsung UE65RU8000UXCE,469990,Samsung,302459,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED TV Blaupunkt 32WС965,69990,Blaupunkt,355847,Все телевизоры,"32″ - 81,3 см",1366x768 (HD),,,Direct,Да,Есть (встроенный),Нет
LED телевизор Kivi 55U600GR,189890,Kivi,420954,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,Direct,Да,Есть (встроенный),Нет
QLED телевизор Samsung QE85Q70TAUXCE,1299990,Samsung,459717,Все телевизоры,"85″ - 215,9 см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
LED телевизор ERGO 49DU6510,139790,Ergo,373624,Все телевизоры,"49″ - 124,5 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED TV Haier 32 Smart TV BX,79990,Haier,468950,Все телевизоры,"32″ - 81,3 см",1366x768 (HD),16:9,Прямой,Direct,Да,Есть (встроенный),Нет
QLED телевизор Samsung Frame QE32LS03TAUXCE,249990,Samsung,472653,Все телевизоры,"32″ - 81,3 см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
Nanocell телевизор LG 49NANO866NA,329990,LG,463451,Все телевизоры,"49″ - 124,5 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
Nanocell телевизор LG 49NANO816NA,289990,LG,459813,Все телевизоры,"49″ - 124,5 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
Nanocell телевизор LG 65NANO866NA,549990,LG,460683,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Hisense H50U7A,179990,Hisense,78567,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,,LED,Да,Есть (встроенный),
QLED телевизор Samsung Frame QE55LS01TAUXRU,499090,Samsung,460264,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
LED телевизор Kivi 65U700GR,269890,Kivi,420955,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,Direct,Да,Есть (встроенный),Нет
LED телевизор LG 60UN71006LB,284990,LG,459809,Все телевизоры,"60″ - 152,4 см",3840x2160 (4K UHD),,Прямой,LED,Да,Есть (встроенный),Нет
QLED TV Samsung QE75Q90RAUXCE,1099990,Samsung,421242,Все телевизоры,"75″ - 190,5 см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
LED TV Haier LE43K6600SG,134990,Haier,459963,Все телевизоры,"43″ - 109,2 см",1920х1080 (FullHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Sony KD49XH8096BR,329990,Sony,464218,Все телевизоры,"49″ - 124,5 см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор Xiaomi MI TV 4S 65 (L65M5-5ASP),299990,Xiaomi,470332,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED TV Samsung UE55RU8000UXCE,349990,Samsung,302454,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор LG 75UN71006LC,439990,LG,459804,Все телевизоры,"75″ - 190,5 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Sony KD55XH9505BR,649990,Sony,464221,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
